Date,Away Team,Away Pts,Home Team,Home Pts
Mar 22 (Thu 7:25pm),Carlton,95,Richmond,121
Mar 23 (Fri 7:50pm),Adelaide,87,Essendon,99
Mar 24 (Sat 3:35pm),Brisbane Lions,82,St Kilda,107
Mar 24 (Sat 4:35pm),Fremantle,60,Port Adelaide,110
Mar 24 (Sat 7:25pm),North Melbourne,39,Gold Coast,55
Mar 24 (Sat 7:25pm),Collingwood,67,Hawthorn,101
Mar 25 (Sun 1:10pm),Western Bulldogs,51,GWS Giants,133
Mar 25 (Sun 3:20pm),Geelong,97,Melbourne,94
Mar 25 (Sun 7:20pm),Sydney,115,West Coast,86
Mar 29 (Thu 7:50pm),Richmond,82,Adelaide,118
Mar 30 (Fri 4:20pm),St Kilda,43,North Melbourne,95
Mar 31 (Sat 1:45pm),Gold Coast,101,Carlton,67
Mar 31 (Sat 4:35pm),GWS Giants,95,Collingwood,79
Mar 31 (Sat 7:25pm),Melbourne,100,Brisbane Lions,74
Mar 31 (Sat 8:10pm),Essendon,90,Fremantle,106
Apr 1 (Sun 3:20pm),West Coast,121,Western Bulldogs,70
Apr 1 (Sun 4:40pm),Port Adelaide,94,Sydney,71
Apr 2 (Mon 3:20pm),Hawthorn,118,Geelong,117
Apr 6 (Fri 7:50pm),Collingwood,100,Carlton,76
Apr 7 (Sat 1:45pm),Brisbane Lions,92,Port Adelaide,97
Apr 7 (Sat 2:10pm),North Melbourne,86,Melbourne,123
Apr 7 (Sat 4:35pm),Fremantle,96,Gold Coast,68
Apr 7 (Sat 7:25pm),GWS Giants,87,Sydney,103
Apr 7 (Sat 7:25pm),Adelaide,104,St Kilda,55
Apr 8 (Sun 1:10pm),Hawthorn,89,Richmond,102
Apr 8 (Sun 3:20pm),Essendon,83,Western Bulldogs,104
Apr 8 (Sun 4:40pm),Geelong,80,West Coast,95
Apr 13 (Fri 7:50pm),Collingwood,106,Adelaide,58
Apr 14 (Sat 1:45pm),Fremantle,51,GWS Giants,82
Apr 14 (Sat 2:10pm),Brisbane Lions,17,Richmond,110
Apr 14 (Sat 4:35pm),Sydney,86,Western Bulldogs,79
Apr 14 (Sat 7:25pm),Carlton,30,North Melbourne,116
Apr 14 (Sat 8:10pm),Gold Coast,59,West Coast,139
Apr 15 (Sun 1:10pm),Port Adelaide,84,Essendon,106
Apr 15 (Sun 3:20pm),Melbourne,48,Hawthorn,115
Apr 15 (Sun 4:40pm),St Kilda,56,Geelong,103
Apr 20 (Fri 7:50pm),Adelaide,85,Sydney,75
Apr 21 (Sat 1:45pm),GWS Giants,73,St Kilda,73
Apr 21 (Sat 4:35pm),West Coast,79,Carlton,69
Apr 21 (Sat 7:40pm),Geelong,84,Port Adelaide,50
Apr 21 (Sat 8:10pm),Western Bulldogs,54,Fremantle,108
Apr 22 (Sun 3:20pm),Hawthorn,70,North Melbourne,98
Apr 22 (Sun 4:40pm),Gold Coast,76,Brisbane Lions,71
Apr 24 (Tue 7:25pm),Richmond,102,Melbourne,56
Apr 25 (Wed 3:20pm),Essendon,52,Collingwood,101
Apr 27 (Fri 7:50pm),Carlton,59,Western Bulldogs,80
Apr 28 (Sat 1:45pm),Sydney,86,Geelong,69
Apr 28 (Sat 2:10pm),Port Adelaide,102,North Melbourne,69
Apr 28 (Sat 4:35pm),Brisbane Lions,43,GWS Giants,77
Apr 28 (Sat 7:25pm),St Kilda,54,Hawthorn,89
Apr 28 (Sat 7:40pm),Gold Coast,62,Adelaide,110
Apr 29 (Sun 1:10pm),Melbourne,108,Essendon,72
Apr 29 (Sun 3:20pm),Richmond,113,Collingwood,70
